epoch,train_loss,loss,exact_accuracy,outcome_accuracy,matrix_outcome_accuracy,top_mean_points,ev_mean_points,ev_exact_accuracy,ev_outcome_accuracy,seconds,best_loss,stale_epochs
1,2.182740111657446,1.8710843736510674,0.103829612942863,0.556829817734999,0.47778005324595535,0.8963751791931189,1.0401392586524678,0.08887978701617857,0.44378455867294697,3.302,1.8710843736510674,0
2,1.8551970826848139,1.779010043192076,0.12758550071677247,0.5836575875486382,0.5773090313331968,1.2940815072701208,1.321114069219742,0.13004300634855623,0.5773090313331968,3.348,1.779010043192076,0
3,1.794069717192116,1.7444572388918314,0.1347532254761417,0.5912348965799713,0.5885725988122056,1.3098505017407331,1.3354495187384805,0.13762031537988942,0.5650215031742781,3.292,1.7444572388918314,0
4,1.7693626775824913,1.7368030332283677,0.13250051198033996,0.594306778619701,0.593897194347737,1.3188613557239401,1.3159942658201924,0.1292238378046283,0.5738275650215032,3.303,1.7368030332283677,0
5,1.7563607539068085,1.7323576536868015,0.1329100962523039,0.5906205201720254,0.5908253123080074,1.3233667827155438,1.3450747491296333,0.1357771861560516,0.5758754863813229,3.248,1.7323576536868015,0
6,1.746815628916888,1.7306742541203606,0.12860946139668236,0.5842719639565841,0.5898013516280974,1.2885521195986074,1.3053450747491295,0.12819987712471842,0.5693221380298996,3.238,1.7306742541203606,0
7,1.7398151513897784,1.7326040878516593,0.13229571984435798,0.5920540651238992,0.5898013516280974,1.3137415523243907,1.3059594511570756,0.12860946139668236,0.5744419414294492,3.242,1.7306742541203606,1
8,1.7343348530544167,1.729663330268938,0.13045259062052017,0.5842719639565841,0.5893917673561335,1.2893712881425354,1.3438459963137415,0.13741552324390743,0.5725988122056113,3.373,1.729663330268938,0
9,1.7266621811238443,1.732831753547773,0.12860946139668236,0.5877534302682776,0.5918492729879172,1.2920335859103012,1.3147655130043006,0.13270530411632192,0.5697317223018636,3.281,1.729663330268938,1
10,1.720246758570377,1.7329695486714793,0.13024779848453819,0.5955355314355929,0.5955355314355929,1.3051402826131477,1.3182469793159943,0.12983821421257424,0.5834527954126562,3.299,1.729663330268938,2
11,1.7146847155192675,1.7321697504530669,0.12819987712471842,0.594306778619701,0.5908253123080074,1.2862994061028057,1.302477984845382,0.12881425353266435,0.5631783739504403,3.341,1.729663330268938,3
12,1.7086694615147229,1.7340449314978728,0.12860946139668236,0.5816096661888184,0.5852959246364939,1.2824083555191481,1.2934671308621748,0.12901904566864633,0.556215441327053,3.279,1.729663330268938,4
13,1.704307335464329,1.7332541052249766,0.1273807085807905,0.5906205201720254,0.5824288347327463,1.2586524677452386,1.292852754454229,0.13127175916444808,0.5441327053041163,3.264,1.729663330268938,5
14,1.697784501043973,1.7371888046940405,0.12840466926070038,0.5883678066762237,0.5883678066762237,1.291009625230391,1.3073929961089494,0.12881425353266435,0.5689125537579357,3.276,1.729663330268938,6
15,1.6907026094967563,1.7409080446388983,0.12574237149293468,0.5893917673561335,0.5914396887159533,1.2660249846405898,1.2787220970714726,0.12369445013311489,0.566045463854188,3.472,1.729663330268938,7
16,1.687794523444871,1.7462290829379807,0.12758550071677247,0.5887773909481876,0.5920540651238992,1.2850706532869138,1.311693630964571,0.1310669670284661,0.5695269301658816,3.243,1.729663330268938,8
17,1.6806809313631916,1.7435255566752643,0.12860946139668236,0.594306778619701,0.5877534302682776,1.2949006758140487,1.3164038500921564,0.1331148883882859,0.565635879582224,3.254,1.729663330268938,9
18,1.6764983247152425,1.742202342423215,0.12860946139668236,0.5898013516280974,0.5871390538603317,1.2762645914396886,1.2846610690149498,0.12779029285275445,0.5523243907433955,3.27,1.729663330268938,10
19,1.6727855021502613,1.7539125208773623,0.12287528158918698,0.5859103010444399,0.5883678066762237,1.2594716362891665,1.272783125127995,0.12410403440507885,0.5666598402621339,3.276,1.729663330268938,11
20,1.6676113836191921,1.754290827175596,0.12123694450133114,0.5900061437640794,0.5875486381322957,1.2566045463854187,1.3035019455252919,0.12840466926070038,0.5670694245340979,3.268,1.729663330268938,12
21,1.662791869754503,1.7590549372757602,0.12144173663731313,0.5932828179397911,0.5891869752201515,1.2715543723121032,1.3159942658201924,0.12860946139668236,0.5783329920131067,3.303,1.729663330268938,13
22,1.6587590084643653,1.7599981018150779,0.12533278722097072,0.5883678066762237,0.584681548228548,1.2858898218308417,1.3061642432930576,0.12758550071677247,0.566455048126152,3.329,1.729663330268938,14
