epoch,train_loss,loss,exact_accuracy,outcome_accuracy,matrix_outcome_accuracy,top_mean_points,ev_mean_points,ev_exact_accuracy,ev_outcome_accuracy,seconds,best_loss,stale_epochs
1,2.018656427517802,1.7342359645918894,0.12799508498873644,0.5777186156051608,0.5789473684210527,0.7022322342822036,0.7395044030309236,0.11734589391767355,0.5803809133729265,3.948,1.7342359645918894,0
2,1.7420279206896272,1.6748924559070368,0.13127175916444808,0.5900061437640794,0.5914396887159533,0.7274216670079869,0.7587548638132295,0.12942862994061027,0.5908253123080074,4.153,1.6748924559070368,0
3,1.7078376095216392,1.6682508068936246,0.13168134343641205,0.5887773909481876,0.5902109359000615,0.7122670489453204,0.7497440098300225,0.12410403440507885,0.5889821830841696,3.874,1.6682508068936246,0
4,1.694687902547613,1.6717884577665811,0.13250051198033996,0.5842719639565841,0.5883678066762237,0.7311079254556625,0.7603932009010854,0.12512799508498873,0.5898013516280974,4.011,1.6682508068936246,1
5,1.6855213294887768,1.6699412060936234,0.12860946139668236,0.5881630145402417,0.5877534302682776,0.6938357567069424,0.763260290804833,0.122670489453205,0.5889821830841696,4.019,1.6682508068936246,2
6,1.6785332202564145,1.6708698436517146,0.13024779848453819,0.5873438459963137,0.585705508908458,0.7159533073929961,0.7595740323571575,0.13086217489248414,0.5861150931804219,3.853,1.6682508068936246,3
7,1.6752012332193669,1.6722711388165898,0.1255375793569527,0.5914396887159533,0.5934876100757731,0.698136391562564,0.7622363301249232,0.1234896579971329,0.5887773909481876,3.91,1.6682508068936246,4
8,1.6666031594313755,1.6737882651048388,0.1292238378046283,0.5912348965799713,0.5889821830841696,0.7042801556420234,0.7513823469178783,0.1292238378046283,0.5869342617243498,4.008,1.6682508068936246,5
9,1.6594620879699509,1.6743236446195076,0.13004300634855623,0.5914396887159533,0.5918492729879172,0.7128814253532665,0.7579356952693017,0.1245136186770428,0.5883678066762237,3.876,1.6682508068936246,6
10,1.6523289874280147,1.6767566390099058,0.1292238378046283,0.5873438459963137,0.5875486381322957,0.7151341388490682,0.7673561335244726,0.12717591644480852,0.5887773909481876,3.945,1.6682508068936246,7
11,1.6478263129958814,1.684240722421884,0.13024779848453819,0.5912348965799713,0.5893917673561335,0.7003891050583657,0.7571165267253738,0.12471841081302477,0.5883678066762237,3.893,1.6682508068936246,8
12,1.641604267658919,1.6806649258213406,0.12799508498873644,0.5887773909481876,0.5873438459963137,0.7120622568093385,0.7575261109973377,0.122670489453205,0.5900061437640794,3.967,1.6682508068936246,9
13,1.6358990509089455,1.6841107016578454,0.12881425353266435,0.5916444808519353,0.5883678066762237,0.7153389309850502,0.7562973581814458,0.1273807085807905,0.5900061437640794,3.948,1.6682508068936246,10
14,1.6320493056347478,1.6952269896117238,0.12779029285275445,0.594101986483719,0.5932828179397911,0.7126766332172845,0.7556829817734999,0.12308007372516895,0.5904157280360434,4.026,1.6682508068936246,11
15,1.6261793080084574,1.683031886736682,0.1347532254761417,0.5936924022117551,0.5926684415318452,0.7343845996313741,0.7714519762441122,0.13516280974810568,0.5953307392996109,4.05,1.6682508068936246,12
16,1.6198141283401262,1.6939945155764222,0.1310669670284661,0.5936924022117551,0.5932828179397911,0.7184108130247798,0.7497440098300225,0.12430882654106082,0.5873438459963137,3.988,1.6682508068936246,13
17,1.614104903744757,1.7043288678828015,0.13086217489248414,0.5891869752201515,0.5902109359000615,0.7124718410813025,0.7517919311898423,0.12676633217284455,0.584476756092566,3.914,1.6682508068936246,14
