epoch,train_loss,loss,exact_accuracy,outcome_accuracy,matrix_outcome_accuracy,top_mean_points,ev_mean_points,ev_exact_accuracy,ev_outcome_accuracy,best_loss,stale_epochs,seconds
1,1.540059383961969,1.4240049439914007,0.13557239402006963,0.5908253123080074,0.5891869752201515,0.7044849477780053,0.7392996108949417,0.11611714110178169,0.5863198853164039,1.4240049439914007,0,4.164
2,1.4370569580568764,1.4161418803812855,0.13004300634855623,0.5920540651238992,0.5930780258038091,0.69875076797051,0.7519967233258242,0.11816506246160148,0.5928732336678272,1.4161418803812855,0,4.583
3,1.4070700330202988,1.431254187641929,0.12410403440507885,0.5902109359000615,0.5926684415318452,0.7030514028261314,0.7483104648781487,0.11632193323776367,0.5904157280360434,1.4161418803812855,1,4.541
4,1.3831692348081255,1.4336911042694085,0.13127175916444808,0.5900061437640794,0.5922588572598813,0.7429858693426172,0.7483104648781487,0.12533278722097072,0.5902109359000615,1.4161418803812855,2,4.567
5,1.3669374639949317,1.4579817507566304,0.12942862994061027,0.5863198853164039,0.5840671718206021,0.7177964366168339,0.7411427401187795,0.12226090518124104,0.58488634036453,1.4161418803812855,3,4.604
6,1.3433986594936094,1.5083440691873526,0.1245136186770428,0.5725988122056113,0.5709604751177555,0.687896784763465,0.7157485152570141,0.12430882654106082,0.5730083964775753,1.4161418803812855,4,4.566
7,1.319405568876532,1.549783278654131,0.11488838828588982,0.5709604751177555,0.5648167110382961,0.6442760597993037,0.697931599426582,0.11447880401392586,0.5609256604546385,1.4161418803812855,5,4.508
8,1.293814345046772,1.6498114835915692,0.11386442760597994,0.5590825312308008,0.5556010649191071,0.6448904362072496,0.6813434364120418,0.11099733770223223,0.5422895760802785,1.4161418803812855,6,4.556
9,1.2728267542416989,1.6655680013440217,0.11120212983821422,0.547204587343846,0.5459758345279542,0.6375179193118984,0.6620929756297358,0.1085398320704485,0.5422895760802785,1.4161418803812855,7,4.482
10,1.231732237757869,1.8064843141810465,0.10976858488634036,0.5574441941429449,0.5553962727831251,0.6467335654310874,0.670284661069015,0.10833503993446651,0.5533483514233053,1.4161418803812855,8,4.535
11,1.2053778018322925,1.7894957401262745,0.10894941634241245,0.5433135367601885,0.5406512389924227,0.6258447675609257,0.6545156665984027,0.10935900061437641,0.5357362277288552,1.4161418803812855,9,4.558
12,1.169166926128409,1.988279809625623,0.10505836575875487,0.5445422895760803,0.5461806266639361,0.6295310260086012,0.6483719025189433,0.10239606799098915,0.5416751996723326,1.4161418803812855,10,4.501
13,1.1333845674112675,2.1094036482163148,0.1028056522629531,0.5433135367601885,0.5435183288961704,0.6283022731927094,0.6485766946549253,0.10260086012697113,0.5400368625844768,1.4161418803812855,11,4.526
14,1.0997764292949106,2.2598395109323115,0.09604751177554782,0.5369649805447471,0.5300020479213599,0.5992217898832685,0.6108949416342413,0.09399959041572803,0.5259062052017203,1.4161418803812855,12,4.497
15,1.0634927028475099,2.403137314400174,0.09522834323161991,0.5265205816096662,0.5273397501535941,0.6020888797870162,0.622568093385214,0.09727626459143969,0.5244726602498464,1.4161418803812855,13,4.562
16,1.0399152897712032,2.3992823106256784,0.09399959041572803,0.5158713905386033,0.5136186770428015,0.5773090313331968,0.5959451157075568,0.09481875895965595,0.5103420028670899,1.4161418803812855,14,4.561
17,1.0058786547858924,2.555741387509235,0.094409174687692,0.5248822445218103,0.5224247388900266,0.5936924022117551,0.6047511775547819,0.09420438255171001,0.5207864018021708,1.4161418803812855,15,4.454
18,0.9729404559492218,2.6950378932109165,0.0915420847839443,0.5244726602498464,0.5236534917059185,0.5959451157075568,0.6055703460987099,0.09195166905590825,0.5207864018021708,1.4161418803812855,16,4.494
19,0.9495677958523535,2.765582700745385,0.09174687691992628,0.528773295105468,0.5236534917059185,0.5934876100757731,0.6016792955150522,0.09133729264796232,0.5203768175302068,1.4161418803812855,17,4.478
20,0.9310328475812214,2.846882611348349,0.0876510342002867,0.5164857669465492,0.5166905590825313,0.5816096661888184,0.5895965594921155,0.0876510342002867,0.5121851320909278,1.4161418803812855,18,4.493
21,0.904535958529517,2.968697586436509,0.08539832070448494,0.5136186770428015,0.5119803399549457,0.5697317223018636,0.5785377841490886,0.08457915216055703,0.5084988736432521,1.4161418803812855,19,4.475
22,0.8859831524225135,2.986327918660267,0.08703665779234078,0.5148474298586935,0.510137210731108,0.5744419414294492,0.5791521605570346,0.0858079049764489,0.5089084579152161,1.4161418803812855,20,4.751
